Prüffeld,Leitfrage,Punkte_0,Punkte_1,Punkte_2,Mein_Score,Beleg_oder_Notiz
Zielgruppe,"Ist klar, wer gemeint ist?",Nicht benannt,Breit oder mehrdeutig,Konkret und wiedererkennbar,,
Problem,"Ist das Problem beobachtbar und dringend?",Abstrakt,Teilweise konkret,Konkrete Situation und Folge,,
Ergebnis,"Ist der Nutzen als Ergebnis formuliert?",Tätigkeitsliste,Mischung aus Tätigkeit und Nutzen,Sichtbares plausibles Ergebnis,,
Zeitrahmen,"Ist der Zeitraum plausibel?",Fehlt,Vage,Konkret und begründet,,
Ablauf,"Ist der Weg in höchstens drei Schritten verständlich?",Fehlt,Zu intern oder lang,Drei kundenseitige Schritte,,
Preis,"Ist Preis oder Rahmen klar?",Fehlt,Nur auf Anfrage,Klarer Preis oder sinnvoller Rahmen,,
Beweis,"Gibt es überprüfbares Vertrauen?",Keine Belege,Indirekte Belege,Arbeitsprobe oder überprüfbarer Beleg,,
Grenzen,"Ist klar was nicht enthalten ist?",Fehlt,Teilweise,Klar und sichtbar,,
CTA,"Gibt es genau einen nächsten Schritt?",Fehlt,Mehrere konkurrierende CTAs,Ein konkreter CTA,,
Risiko,"Ist der Einstieg risikoarm und ehrlich?",Unklar,Teilweise erklärt,Kleiner transparenter nächster Schritt,,
