"channel","label","copy","url"
"LinkedIn","Problem-Post AI","Viele wollen mit GPT produktiver werden, aber starten mit zu vielen Tools und zu wenig Klarheit. Ich habe einen kurzen Einstieg gebaut, der erst den Bedarf sortiert und dann den passenden naechsten Schritt zeigt.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/c/ai-starter/"
"LinkedIn","Problem-Post Affiliate","Affiliate-Marketing scheitert selten am Link. Es scheitert daran, dass kein klarer Intent und kein sauberer naechster Schritt da ist. Genau dafuer habe ich eine kurze SERS-Seite gebaut.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/c/affiliate-neustart/"
"WhatsApp","Permission-DM GPT","Kurze Frage: Willst du GPT gerade wirklich nutzen oder erstmal nur verstehen, was sinnvoll ist? Ich habe dir dafuer einen kurzen Einstieg gebaut.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/c/ai-starter/"
"WhatsApp","Permission-DM Affiliate","Du hattest doch mal Affiliate/Online-Umsatz im Kopf. Soll ich dir meinen kurzen Einstieg schicken? Keine Wall of Text, nur der passende Pfad.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/c/affiliate-neustart/"
"E-Mail","Follow-up Kaufintent","Ich habe dir die Optionen sortiert: GPT, Affiliate, Mindset, Digital Business oder Exit. Waehle kurz den Intent, dann bekommst du den passenden Link mit Affiliate-Hinweis.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/launch-room.html"
"Social Bio","Bio-Link Text","SERS: Waehle deinen naechsten Schritt fuer GPT, Affiliate, Mindset, Digital Business oder Exit.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/bio.html"
"Social Bio","Fit-Check Link","Nicht sicher, welcher Weg passt? Mach den kurzen SERS Fit-Check und nimm danach nur den passenden naechsten Schritt.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/fit-check.html"
"Kommentar","Kommentar-Antwort","Ich habe es kurz sortiert und nicht als langen Thread gebaut. Hier kannst du den passenden Einstieg waehlen.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/share-kit.html"
"Partner","Partner-Link Builder","Wenn du den SERS Pfad teilen willst, nutz bitte den Partner-Link-Builder. Dann bekommt jeder Kanal einen sauberen Tracking-Link.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/partner-links.html"
"Direkt","Warm Close","Wenn du schon weisst, welcher Intent passt, nimm direkt die Offer Wall. Sonst zuerst den Router nehmen und den passenden Link auswaehlen.

Werbung/Affiliate-Hinweis: Wenn du ueber meinen Link kaufst, erhalte ich eine Provision. Fuer dich bleibt der Preis gleich.","https://n5rjgsqj5g-cmd.github.io/sers-money-router-live/offers.html"
